id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
307;Herbapol;12;aqua, sodium coco-sulfate, cocamidopropyl betaine, decyl glucoside, glycerin, lauryl glucoside, polyquaternium-7, guar hydroxypropyltrimonium chloride, rhodiola rosea extract, zingiber officinale root extract, raphanus sativus root extract, hippophae rhamnoides fruit extract, gossypium herbaceum flower extract, zea mays starch, hydrolyzed vegetable protein, xanthan gum, panthenol, propylene glycol, parfum, citric acid, tetrasodium glutamate diacetate, sodium benzoate, potassium sorbate;https://www.hebe.pl/herbapol-wzmacniajacy-szampon-z-odzywka-do-wlosow-400-ml-000000000000594700.html;normalne;normalna;srednia
308;Schauma Everyday Care;13;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, chamomilla recutita flower extract, sodium benzoate, coco-glucoside, glyceryl oleate, citric acid, parfum, propylene glycol, hydroxypropyl guar hydroxypropyltrimonium chloride, sodium hydroxide, benzyl alcohol, methyl benzoate, ci 47005, ci 16035, ci 14700;https://www.hebe.pl/schauma-szampon-do-wszystkich-rodzajow-wlosow-400-ml-000000000000383752.html;normalne;normalna;niska
309;Joanna;14;aqua, ammonium lauryl sulfate, sodium laureth sulfate, cocamidopropyl betaine, cocamide dea, peg-7 glyceryl cocoate, glycerin, cannabis sativa seed extract, polyquaternium-22, hydroxypropyl guar hydroxypropyltrimonium chloride, hexapeptide-11, biotin, niacinamide, saccharum officinarum extract, citrus limon fruit extract, betaine, hexylene glycol, pyrus malus fruit extract, camellia sinensis leaf extract, polysorbate 20, panthenol, linoleic acid, linolenic acid, tocopheryl acetate, retinyl palmitate, bioflavonoids, pyridoxine hcl, leuconostoc, imidazolidinyl urea, sodium chloride, tetrasodium glutamate diacetate, phenoxyethanol, propylene, parfum, citral, citronellol, citrus aurantium peel oil, geraniol, hexyl cinnamal, limonene, linalool, linalyl acetate, citric acid, dmdm hydantoin, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/joanna-wzmacniajacy-szampon-do-wlosow-wypadajacych-400-ml-000000000000430380.html;normalne;normalna;srednia
310;Bandi Professional Tricho Esthetic;49;aqua, cocamidopropyl betaine, glycerin, olive oil peg-7 esters, sodium lauroyl methyl isethionate, amodimethicone, polysorbate 20, sodium caproyl, sodium methyl oleoyl taurate, peg-150 pentaerythritol tetrastearate, coco-glucoside, lauryl glucoside, hydrolyzed silk, allantoin, 7-dehydrocholesterol, propylene glycol, caprylyl glycol, glyceryl laurate, ppg-2 hydroxyethyl cocamide, disodiumedta, hydroxypropyl cyclodextrin, 1,2-hexanediol, ethylhexylglycerin, parfum, potassium sorbate, sodium benzoate, hydroxyacetophenone, phenoxyethanol;https://www.hebe.pl/bandi-szampon-micelarny-przeciwlupiezowy-do-skory-glowy-230-ml-000000000000401484.html;puszace/suche;sucha/wrazliwa;srednia
311;Anwen Brzoskwinia&Kolendra;29;aqua, sodium cocoamphoacetate, glycerin, lauryl glucoside, betaine, sodium cocoyl glutamate, sodium lauroyl glucose carboxylate, linum usitatissimum seed extract, althea officinalis root extract, niacinamide, acacia conocinna fruit extract, balanites aegyptiaca fruit extract, gypsophila paniculata root extract, dipotassium glycyrrhizate, polyglyceryl-4 laurate, polyglyceryl-6 caprylate, salicylic acid, sorbic acid, parfum, benzyl alcohol, limonene, linalool;https://www.hebe.pl/anwen-delikatny-szampon-w-piance-do-suchej-i-wrazliwej-skory-glowy-170-ml-000000000000422718.html;normalne;tlusta/lupiez;srednia
312;Ziaja Figowy;12;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium cocoamphoacetate, panthenol, propylene glycol, ficus carica fruit extract, guar hydroxypropyltrimonium chloride, c12-13 alkyl lactate, sodium chloride, sodium benzoate, parfum, linalool, limonene, citronellol, citric acid;https://www.hebe.pl/ziaja-szampon-do-wlosow-normalnych-figowy-500ml-000000000000215334.html;normalne;normalna;srednia
313;Dermz H+P Shampoo;59;`aqua, cocamidopropyl betaine, sodium cocoamphoacetate, urea, acrylates, cannabis sativa seed oil, polysorbate, parfum, sodium caproyl, triethyl citrate, helianthus annuus seed oil, symphytum officinale leaf extract, salicylic acid, cannabidiol, alpha glucan, polymnia sonchifolia root juice, maltodextrin, lactobacillus, cholecalciferol, phenoxyethanol, ethylhexylglycerin`;https://www.hebe.pl/dermz-szampon-do-wlosow-300-ml-000000000000447726.html;normalne;tlusta/lupiez;srednia
314;Pantene Pro V Miracles Hydra Glow;23;aqua, sodium laureth sulfate, sodium citrate, cocamidopropyl betaine, sodium xylenesulfonate, stearyl alcohol, sodium chloride, parfum, cetyl alcohol, citric acid, sodium benzoate, glycerin, sodium salicylate, polyquaternium-6, guar hydroxypropyltrimonium chloride, sodium hydroxide, trihydroxystearin, tetrasodium edta, limonene, panthenol, panthenyl ethyl ether, histidine, sodium hyaluronate, phenoxyethanol, biotin;https://www.hebe.pl/pantene-szampon-z-biotyna-do-wlosow-suchych-i-zniszczonych-250-ml-000000000000502245.html;normalne;normalna;srednia
315;Dermena Men;36;aqua, sodium myreth sulfate, laureth-3, glycerin, cocamidopropyl betaine, polysorbate 80, hexanediol, coco-glucoside, glyceryl oleate, methyl niacinamide chloride, rose extract, glycyrrhiza glabra, cichorium intybus leaf extract, hydrolyzed rhodophyceae extract, panthenol, menthol, biotin, parfum, sodium benzoate, dicaprylyl ether, lauryl alcohol, polyquaternium-10, hydroxypropyl guar hydroxypropyltrimonium chloride, citric acid, lactic acid, linoleic acid, xylitol, caprylic acid, disodium edta, caprylyl glycol, tocopherol, hydrogenated palm glycerides citrate;https://www.hebe.pl/dermena-szampon-hamujacy-wypadanie-wlosow-dla-mezczyzn-200-ml-000000000000429373.html;krecone/falowane;normalna;srednia
316;Sessio Hair Vege Coctail;17;aqua, sodium lauroyl methyl isethionate, cocamidopropyl betaine, polyquaternium-10, hydrolyzed pea protein, hylocereus undatus fruit extract, glycerin, phenoxyethanol, caprylyl glycol, parfum, polysorbate 20, sodium chloride, citric acid, sodium benzoate, potassium sorbate, citronellol, linalool, hexyl cinnamal;https://www.hebe.pl/sessio-szampon-do-wlosow-300-ml-000000000000412046.html;krecone/falowane;normalna;srednia
317;Pantene Silky&Glowing;23;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium citrate, sodium xylenesulfonate, sodium chloride, parfum, cocamide mea, glycol distearate, sodium benzoate, citric acid, stearyl alcohol, glycerin, cetyl alcohol, sodium salicylate, dimethiconol, dimethicone, panthenyl ethyl ether, guar hydroxypropyltrimonium chloride, panthenol, sodium hydroxide, trihydroxystearin, linalool, tea-dodecylbenzenesulfonate, polyquaternium-6, tetrasodium edta, hexyl cinnamal, trideceth-10, histidine, hydroxycitronellal, benzyl benzoate, biotin, benzyl alcohol, triethylene glycol, propylene glycol;https://www.hebe.pl/pantene-szampon-z-biotyna-i-keratyna-do-wlosow-250-ml-000000000000502247.html;puszace/suche;normalna;srednia
318;Mixa Baby;27;aqua, sodium laureth sulfate, peg-200 hydrogenated glyceryl palmate, glycerin, coco-betaine, polysorbate 20, peg-7 glyceryl cocoate, sodium chloride, pentylene glycol, citric acid, sodium hydroxide, prunus amygdalus dulcis oil, peg-60 hydrogenated castor oil, polyquaternium-10, sodium benzoate, parfum;https://www.hebe.pl/mixa-szamponplyn-do-kapieli-1400ml-000000000000262384.html;krecone/falowane;normalna;srednia
319;Radical Trychologiczny;21;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, decyl glucoside, glycerin, equisetum arvense leaf extract, potassium sorbate, sodium benzoate, coco-glucoside, glyceryl oleate, lactic acid, parfum, sodium chloride, hydroxypropyl guar hydroxypropyltrimonium chloride, arginine, caffeine, urea, disodium phosphate, biotin, citric acid, panax ginseng root extract, lactic acid;https://www.hebe.pl/radical-trychologiczny-szampon-do-wlosow-przyspieszajacy-wzrost-200-ml-000000000000417216.html;normalne;normalna;srednia
320;Pharmaceris P Ichtilix-Forte;67;immuno activator, kwas salicylowy, mocznik, kompleks antybakteryjny ddl, wyciąg z kory wierzby;https://www.hebe.pl/pharmaceris-plyn-keratolityczny-do-owlosionej-skory-glowy-i-ciala-zmniejszajacy-luske-luszczycowa-125-ml-000000000000389523.html;normalne;normalna;niska
321;Timotei Złociste Refleksy;22;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, carbomer, chamomilla recutita flower extract, citric acid, dimethiconol, disodium edta, dmdm hydantoin, gluconolactone, glycerin, guar hydroxypropyltrimonium chloride, maltodextrin, mica, parfum, phenoxyethanol, ppg-9, selaginella lepidophylla extract, sodium benzoate, sodium hydroxide, tea-dodecylbenzenesulfonate, tea-sulfate, trehalose, benzyl alcohol, benzyl salicylate, butylphenyl methylpropional, citronellol, hexyl cinnamal, limonene, linalool, ci 15985, ci 19140, ci 77491, ci 77891;https://www.hebe.pl/timotei-szampon-do-wlosow-750ml-000000000000310188.html;normalne;normalna;srednia
322;Fa Kids Pirate Fantasy;14;aqua, sodium laureth sulfate, cocamidopropyl betaine, coco-glucoside, sodium chloride, glycerin, panthenol, niacinamide, caprylyl/capryl glucoside, glyceryl laurate, propylene glycol, denatonium benzoate, sodium hydroxide, citric acid, sodium benzoate;https://www.hebe.pl/fa-zel-pod-prysznic-i-szampon-dla-dzieci-400-ml-000000000000430658.html;normalne;normalna;srednia
323;Matrix Instacure Build-A-Bond;64;aqua, decyl glucoside, sodium cocoyl isethionate, cocamidopropyl betaine, citric acid, sodium hydroxide, panthenol, parfum, glycerin, dimethicone, peg-150 distearate, ppg-5-ceteth-20, sodium benzoate, sodium chloride, peg-55 propylene glycol oleate, propylene glycol, carbomer, limonene, coco-caprylate, polyquaternium-67, salicylic acid, amodimethicone, sodium phytate, glycol distearate, squalane, coco-betaine, linalool, acrylates, citronellol, trideceth-6, benzyl alcohol, alcohol, cetrimonium chloride, ci 17200;https://www.hebe.pl/matrix-odbudowujacy-szampon-do-wlosow-zniszczonych-300-ml-000000000000575325.html;puszace/suche;tlusta/lupiez;srednia
324;Miya Cosmetics Scalp&More Energy;29;aqua, lauryl glucoside, sodium coco-sulfate, glycerin, caffeine, betaine, lactic acid, sodium phytate, parfum, polyglyceryl-4 caprate, dicaprylyl ether, decyl glucoside, hydroxypropyl guar hydroxypropyltrimonium chloride, glyceryl oleate, citric acid, methylpropanediol, caprylyl glycol, benzoic acid, sodium benzoate, potassium sorbate, citrus aurantium peel oil, limonene, coumarin, linalyl acetate;https://www.hebe.pl/miya-cosmetics-wzmacniajacy-szampon-z-kofeina-do-wlosow-300-ml-000000000000573753.html;normalne;normalna;srednia
325;Schauma Men Deep Cleansing;13;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, peg-7 glyceryl cocoate, kaolin, charcoal powder, disodium cocoamphodiacetate, coco-glucoside, glyceryl oleate, citric acid, sodium benzoate, parfum, hydrogenated castor oil, behenamidopropyl dimethylamine, lactic acid, sodium hydroxide, hydroxypropyl guar, hydroxypropyltrimonium chloride;https://www.hebe.pl/schauma-szampon-do-wlosow-twarzy-i-ciala-meski-400-ml-000000000000374391.html;normalne;normalna;niska
326;Mustela Stelatopia;39;aqua, co co-glucoside, polyglyceryl-4 caprate, polyquaternium-10, citric acid, sodium benzoate, helianthus annuus seed oil unsaponifiables, persea gratissima fruit extract;https://www.hebe.pl/mustela-szampon-w-piance-dla-dzieci-150-ml-000000000000429547.html;krecone/falowane;normalna;niska
327;Vis Plantis Pharma Care;24;aqua, ammonium lauryl sulfate, coco-glucoside, glycerin, glyceryl caprylate, glyceryl oleate, arctium lappa root extract, heptyl glucoside, biotin, inulin, hydrogenated palm glycerides citrate, tocopherol, citric acid, lactic acid, cocamidopropyl betaine, tetrasodium glutamate diacetate, parfum, sodium chloride, sodium benzoate, potassium sorbate, citral, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/vis-plantis-szampon-do-wlosow-wypadajacych-500-ml-000000000000480188.html;normalne;normalna;srednia
328;Luxliss Macadamia&Tea Tree;59;water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, dimethicone, sodium cocoyl isethionate, glycerin, cocamide mea, glycol distearate, peg-7 glyceryl cocoate, fragrance, benzyl alcohol, guar hydroxypropyltrimonium chloride, carbomer, phenoxyethanol, sodium isostearoyl lactate, sodium benzoate, disodium edta, hydroxypropyl methylcellulose, peg-150 distearate, peg-14m, ppg-28-buteth-35, helianthus annuus seed oil, calendula officinalis extract, macadamia ternifolia seed oil, sclerocharya birrea seed oil, aloe barbadensis leaf extract, tocopheryl acetate, hydrolyzed silk, chlorhexidine digluconate, hydrolyzed soy protein, hydrolyzed wheat protein, hydrolyzed corn protein, beta vulgaris root extract, hydrolyzed corn starch, melaleuca alternifolia leaf oil;https://www.hebe.pl/luxliss-szampon-do-wlosow-500-ml-000000000000380167.html;puszace/suche;sucha/wrazliwa;wysoka
329;Klorane;51;water, disodium laureth sulfosuccinate, decyl glucoside, lauryl betaine, ceteareth-60 myristyl glycol, laureth-3, glyceryl laurate, urtica dioica root extract, caprylyl glycol, citric acid, fragrance, green 3, maleic acid, polyquaternium-22, polysorbate 20, propylene glycol, sodium benzoate, sodium chloride, trisodium ethylenediamine disuccinate, yellow 6;https://www.hebe.pl/klorane-szampon-do-wlosow-z-pokrzywa-200-ml-000000000000383461.html;normalne;normalna;niska
330;LaQ Dzikus z Lasu;7;aqua, sodium coco-sulfate, cocamidopropyl betaine, coco-glucoside, glycerin, glyceryl oleate, quercus petraea bark extract, eleutherococcus senticosus root extract, equisetum arvense leaf extract, arctium lappa root extract, galium aparine extract, guar hydroxypropyltrimonium chloride, sodium benzoate, potassium sorbate, citric acid, sodium chloride, parfum, linalyl acetate, tetramethyl acetyloctahydronaphthalenes;https://www.hebe.pl/laq-meski-szampon-do-wlosow-100-ml-000000000000591657.html;normalne;normalna;srednia
331;Nivea Hairmilk Shine;15;aqua, sodium laureth sulfate, cocamidopropyl betaine, decyl glucoside, coco-glucoside, sodium chloride, citric acid, magnolia officinalis bark extract, prunus amygdalus dulcis oil, hydrogenated lecithin, cocos nucifera fruit extract, guar hydroxypropyltrimonium chloride, glycerin, glyceryl oleate, dicaprylyl ether, glycol distearate, hydrogenated castor oil, sodium, benzoate, benzoic acid, parfum;https://www.hebe.pl/nivea-szampon-do-wlosow-dla-naturalnego-polysku-400-ml-000000000000312608.html;normalne;normalna;srednia
332;Aromase Hair Volumizing Shampoo;134;aqua, ammonium lauryl sulfate, lauramidopropyl betaine, tea-lauryl siarczan, chlorek sodu, polisorbat 20, stearamidopropylodimetyloamina, alkohol denat, mentol, peg-75 lanolina, olej z liści rosmarinus officinalis, polyquaternium-10, kwas cytrynowy, olejek z liści eukaliptusa gałkowego, limonen, lauroyl sodu sarkozynianu, olej z owoców citrus aurantium bergamia, glikol propylenowy, disodowy edta, oleth-12, linalol, gliceryna, 4-terpineol, ppg-12-buteth-16, octan tokoferylu, olej owocowy juniperus communis, pantenol, sok z liści aloesu barbadensis w proszku, kwas glicyretynowy, peg-65m, pirokton olamina, niacynamid, ekstrakt z nasion citrus grandis, octan sodu, fenoksyetanol, ekstrakt z korzenia polygonum multiflorum, ekstrakt z liści grasicy pospolitej, alkohol izopropylowy, ekstrakt z owoców serrulata serrenoa;https://www.hebe.pl/aromase-szampon-przeciw-wypadaniu-wlosow-400-ml-000000000000535575.html;krecone/falowane;sucha/wrazliwa;niska
333;Alpecin Caffeine Shampoo C1 Black Edition;39;woda, laurylosiarczan sodu, laurylosiarczan, laurylosulfbursztynian disodowy, chlorek sodu, lauroiloglutaminian sodu, kofeina, pantenol, peg-120 dioleinian metyloglukozy, hydrolizowane białko pszenicy, kwas cytrynowy, cytrynian sodu, glikol propylenowy, mentol, uwodorniony olej rycynowy peg-40, polyquaternium-7, disodium edta, niacynamid, tokoferol, chlorek cynku, olej roślinny, sorbinian potasu, benzoesan sodu, fenoksyetanol, aromat, limonen, linalol, heksyl cynamal, ci 42090, ci 60730;https://www.hebe.pl/alpecin-szampon-do-wlosow-przeciw-wypadaniu-250-ml-000000000000531376.html;normalne;normalna;niska
334;Radical Nadający Objętość;12;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, sodium lauroyl sarcosinate, propylene glycol, equisetum arvense herb extract, soluble collagen, polysorbate 20, hydrolyzed silk, tilia cordata flower extract, hydroxypropyl guar hydroxypropyltrimonium chloride, lactic acid, sodium chloride, disodium edta, potassium sorbate, sodium benzoate, parfum, benzyl salicylate, hexyl cinnamal, linalool;https://www.hebe.pl/radical-szampon-nadajacy-objetosc-do-wlosow-cienkich-i-delikatnych-400-ml-000000000000386305.html;normalne;normalna;niska
